Zmienna;Typ informacji;Jednostka terytorialna;PKD - wybrane sekcje i działy 1 (KG);Szereg czasowy;Wartość;Flaga
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M02;-7,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M03;-3,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M04;-2,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M05;1,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M06;0,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M07;-2,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M08;-1,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M09;-5,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M10;-8,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M11;-17,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M12;-18,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M01;-9,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M02;-8,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M03;-6,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M04;-4,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M05;-0,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M06;-0,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M07;-1,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M08;-0,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M09;-3,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M10;-6,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M11;-10,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M12;-12,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M01;10,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M02;4,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M03;5,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M04;-20,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M05;-27,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M06;-24,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M07;-16,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M08;-6,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M09;-5,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M10;-3,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M11;-7,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M12;-7,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M01;-4,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M02;-1,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M03;-7,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M04;-67,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M05;-42,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M06;-15,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M07;-4,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M08;-6,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M09;-7,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M10;-15,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M11;-33,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M12;-22,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M01;3,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M02;1,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M03;-1,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M04;-44,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M05;-34,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M06;-19,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M07;-10,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M08;-6,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M09;-6,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M10;-9,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M11;-20,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2020 M12;-14,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M01;11,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M02;8,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M03;3,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M04;4,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M05;6,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M06;4,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M07;3,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M08;4,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M09;-0,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M10;0,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M11;0,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M12;-1,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M01;1,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M02;6,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M03;9,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M04;11,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M05;6,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M06;6,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M07;4,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M08;4,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M09;0,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M10;-4,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M11;-7,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M12;-8,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M01;6,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M02;7,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M03;6,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M04;8,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M05;6,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M06;5,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M07;4,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M08;4,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M09;0,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M10;-1,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M11;-3,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2019 M12;-4,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M01;21,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M02;17,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M03;17,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M04;15,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2018 M05;14,9;(nd)
